"Term","Contextual note","Time/Region","References"
"abeed/s abid/s","Arabic  word meaning “servant” or “slave” used as a racial slur towards people of  African heritage, dating back to the Indian Ocean slave trade.","Middle  East, North Africa","The  Node – Arabic Speakers on Twitter Campaign to  Make ‘Abeed’ the New @N-Word’ [1]"
"Ali Baba","Historically  used to refer to a lucky person. In the US military, a racial slur for an  Iraqi (suspected of criminal activity).","USA,  Iraq","Wikipedia  – List of ethnic slurs [2]"
"aliens illegal aliens","USA  legal terminology for immigrants. Used by LOCSH. Considered dehumanising by  many.","USA",""
"Arabian","“Arabic”  might be more appropriate.","Middle  East",""
"armo","Derogatory  term for Armenian and Armenian-American people in the USA.","USA,  Armenia","Wikipedia  – List of ethnic slurs [3]"
"aseng","Derogatory  term for non-Indonesian people, especially Chinese and Chinese-Indonesian  people.","Indonesia","Wikipedia  – List of ethnic slurs [4]"
"BME Black and minority ethnic BAME Black, Asian, and minority ethnic BIPOC Black, Indigenous,and People of Colour POC People of colour non-white","Contested vocabularies. These acronyms  are homogenising, and should not be used when you are exclusively referring  to Black populations i.e. institutions that responded to Black Lives Matter  by releasing statistics that they had x percentage of “BME employees”,  obscuring the fact that only a fractional percentage of them (if any) were  Black.","UK,  USA, Black history","The  National Archives - BAME  Finding Aid [5] BBC  - ‘Don’t Call me BAME’ [6]  Natalie  Morris – The BAME debate [7]"
"banana","Derogatory term for East Asians in the  USA meaning “yellow on the outside, white on the inside”","","Wikipedia  – List of ethnic slurs [8]"
"beaner","Derogatory slang for people of Mexican  descent","USA","Wikipedia  – List of ethnic slurs [9]"
"Blasian Blindian","Meaning mixed Black and Asian, or Black  and Indian. Usually not derogatory.","",""
"Boat people","Derogatory  term for political refugees","","Society for Linguistic Anthropology [10]"
"bog trotter/s bog-trotter/s bog","Derogatory slang for Irish people,  especially those of lower-class Irish ancestry","Ireland,  USA, UK","Wikipedia  – List of ethnic slurs [11]"
"bohunk/s hunky","Derogatory slang in the USA to  reference lower-class immigrants of Central, Eastern, or Southeastern  European descent.","USA,  Eastern Europe, Europe","Wikipedia  – List of ethnic slurs [12]"
"bong","Derogatory term for Bengali people in  India","India,  Bangladesh","Wikipedia  – List of ethnic slurs [13]"
"boogie/s boogie woogie boogie man","Derogatory slang for Black people","Black  history","Owl  apps – List of ethnic slurs by ethnicity [14]"
"bougnoule (French) sandnigger/s sand nigger/s sand-nigger/s camelfucker/s camel-fucker/s camel fucker/s camel jockey/s dune coon/s raghead/s wog/s","Derogatory terms for a person of Arab  or North African descent.","North  Africa, Europe, USA, Middle East","Wikipedia  – List of ethnic slurs [15]"
"bosche boche","A derogatory term for a German. “Boche”  originates from the French slang alboche,  derived from two words allemand  (German) and caboche (pate, head).","Europe,  Germany","NLS  – First World War Official Photographs [16]"
"brownie/s","Pejorative for brown-skinned people,  popular in the USA, popular in the 1940s - 1950s.","1940s-,  USA","Wikipedia  – List of ethnic slurs [17]"
"buckra backra","Gullah language word meaning “white  trash”.","","Racial  Slur Database"
"buddhahead/s buddahead/s","Pejorative for people of Asian descent,  also used by mainland Japanese people to refer to Japanese Americans born in Hawaiʻi since WWII.","Hawaiʻi,  Japan, WWII, Asian American history","Wikipedia  – List of ethnic slurs [18]"
"cabbage eater cabbage","Derogatory slang for German or Russian  people","Europe,  Germany, Russia","Wikipedia  – List of ethnic slurs [19]"
"carcamano","Used in Brazil in the early 20th  century to describe Italian immigrants","Brazil,  Italy, 1900-","Wikipedia  – List of ethnic slurs [20]"
"ching chong chinaman  China man","Derogatory slang for East Asian people  – mocking the language of or a person of perceived Chinese descent. For  example, the phrase “ching chong chinaman” was used by David Walliams in UK  TV series Little Britain.","UK","Wikipedia  – List of ethnic slurs [21]"
"cholo/s","In some parts of Latin America, “cholo”  is an offensive term for a man of Indigenous or partly Indigenous ancestry.  In modern usage, it has various meanings and is not always negative. “Cholo” was also used by Chilean  officers to refer to Peruvians during the War of the Pacific (1879-1883).","Latin  America, Chile","Wikipedia  – List of ethnic slurs [22] Wikipedia  - Cholo [23] Owl apps – List of ethnic slurs by ethnicity [24]"
