"id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15"
7202331050,"20140924T000000",550000,3,2.5,2360,4080,2,0,0,3,7,2360,0,2003,0,98053,47.6825,-122.038,2290,4080
8078460320,"20141118T000000",598850,4,2.5,2350,7245,2,0,0,3,8,2350,0,1993,0,98074,47.6318,-122.023,2350,9419
7852020080,"20141210T000000",535000,3,3.25,2670,5108,2,0,2,3,9,2670,0,2000,0,98065,47.5342,-121.866,2670,6500
9297301495,"20150203T000000",440000,3,2.5,2160,3738,2,0,0,3,8,2160,0,1994,0,98126,47.5661,-122.375,1500,4000
8805900065,"20141112T000000",1160000,5,3.25,4290,7019,2.5,0,0,4,10,3590,700,1927,0,98112,47.6439,-122.302,1920,4000
4051100230,"20140820T000000",240000,3,1,1340,7000,1,0,0,4,7,1340,0,1978,0,98042,47.3742,-122.149,1850,7904
7694200350,"20140820T000000",399963,4,2.5,2620,4050,2,0,0,3,8,2620,0,2014,0,98146,47.5017,-122.34,2030,3944
3845101100,"20150121T000000",392440,4,2.5,2547,4800,2,0,0,3,9,2547,0,2014,0,98092,47.2592,-122.194,2598,4800
3832060120,"20150316T000000",280000,4,2.5,2200,5893,2,0,0,3,7,2200,0,2008,0,98042,47.3333,-122.055,2200,5757
1558500050,"20141113T000000",435000,3,2.5,3380,7074,2,0,0,3,8,2200,1180,1999,0,98019,47.7462,-121.978,2060,6548
4222310220,"20140825T000000",235500,3,1.5,1380,7600,1,0,0,4,7,790,590,1971,0,98003,47.3489,-122.306,1570,7904
1376800115,"20141103T000000",585000,3,1,1450,5378,1,0,0,3,7,1190,260,1939,0,98199,47.6436,-122.405,1810,5559
7625702505,"20150306T000000",605000,4,2.75,1670,6000,1,0,0,5,7,840,830,1917,0,98136,47.5496,-122.385,1100,6000
7853400260,"20140513T000000",660000,4,3.5,3400,5196,2,0,0,3,9,3400,0,2012,0,98065,47.5169,-121.884,3170,5260
7420200050,"20140620T000000",623000,3,2.5,1850,7777,2,0,0,5,8,1850,0,1989,0,98033,47.6908,-122.169,1850,8482
7853210060,"20150406T000000",430000,4,2.5,2070,4310,2,0,0,3,7,2070,0,2004,0,98065,47.5319,-121.85,1970,3748
